name,gender,embedding_movie_1,embedding_movie_2,embedding_movie_3
Warren Christie,2,"[16.449, 5.279, 2011, 5000000, 25562924]","[17.163, 6.153, 2012, 65000000, 156974557]","[23.149, 7.776, 2021, 0, 0]"
Christine Taylor,1,"[23.556, 6.772, 1998, 18000000, 123306987]","[36.394, 6.199, 2001, 28000000, 60780981]","[28.676, 6.348, 2004, 20000000, 167722310]"
Kirk Douglas,2,"[19.57, 7.054, 1954, 5000000, 28200000]","[22.704, 8.278, 1957, 935000, 0]","[44.406, 7.547, 1960, 12000000, 60000000]"
Dana Barron,1,"[45.986, 7.117, 1983, 15000000, 61399552]","[19.551, 5.731, 1987, 5000000, 6880310]","[12.484, 6.504, 2011, 0, 853862]"
Shawnee Smith,1,"[161.744, 7.408, 2004, 1200000, 103911669]","[109.845, 6.575, 2005, 4000000, 147748505]","[101.531, 6.386, 2006, 10000000, 164874275]"
Lauren Holly,1,"[19.196, 6.914, 1993, 14000000, 63513743]","[39.102, 6.611, 1994, 16000000, 247275374]","[30.758, 6.439, 2000, 70000000, 374111707]"
Lenny Kravitz,2,"[16.629, 7.333, 2009, 10000000, 47536959]","[68.781, 7.195, 2012, 75000000, 694394724]","[111.167, 7.42, 2013, 130000000, 865011746]"
Ted Levine,2,"[16.584, 8.343, 1991, 19000000, 272742922]","[73.015, 8.2, 2010, 80000000, 294800000]","[63.802, 6.547, 2018, 170000000, 1310466296]"
Mason Gooding,2,"[116.907, 6.703, 2022, 24000000, 140041405]","[160.235, 7.243, 2022, 3000000, 16120263]","[185.209, 7.14, 2023, 35000000, 168961389]"
Connie Nielsen,1,"[78.587, 8.21, 2000, 103000000, 465361176]","[75.833, 7.236, 2017, 149000000, 822854286]","[63.275, 8.004, 2021, 17000000, 61779301]"
Angela Kinsey,1,"[15.523, 4.9, 2010, 35000000, 36236710]","[18.526, 6.345, 2019, 0, 0]","[318.754, 8.589, 0, 0, 0]"
Parminder Nagra,1,"[15.753, 6.303, 2002, 3500159, 76578641]","[33.932, 6.853, 2018, 19800000, 0]","[44.372, 8.28, 2019, 7000000, 92600000]"
Sonita Henry,1,"[59.627, 7.5, 1997, 90000000, 263920180]","[51.414, 7.434, 2009, 150000000, 385680446]","[13.313, 8.02, 2013, 0, 0]"
Gregory Smith,2,"[25.145, 6.529, 1998, 40000000, 54682547]","[43.662, 7.169, 2000, 110000000, 215294342]","[10.512, 5.926, 2011, 3000000, 748453]"
Meg Foster,1,"[21.835, 5.664, 1987, 22000000, 17336370]","[23.108, 7.289, 1988, 4000000, 13008928]","[13.144, 5.414, 2016, 1500000, 850419]"
John Ortiz,2,"[34.582, 7.131, 2012, 21000000, 236412453]","[36.876, 6.729, 2018, 135000000, 467989645]","[15.445, 6.101, 2019, 87500000, 127461872]"
Trey Parker,2,"[31.876, 7.255, 1999, 21000000, 83137603]","[51.248, 6.456, 2017, 80000000, 1031552585]","[331.32, 8.359, 0, 0, 0]"
Jonathan Tucker,2,"[63.495, 6.245, 2003, 9500000, 107363905]","[19.518, 6.345, 2005, 52000000, 77944725]","[18.862, 5.962, 2008, 8000000, 22818256]"
Alfred Molina,2,"[32.997, 7.261, 2004, 200000000, 788976453]","[40.367, 6.264, 2010, 200000000, 336365676]","[299.567, 7.986, 2021, 200000000, 1921847111]"
Tony Hale,2,"[33.974, 6.21, 2016, 73000000, 349779543]","[19.819, 8.04, 2018, 17000000, 66316289]","[81.69, 7.514, 2019, 175000000, 1073394593]"
Michael Biehn,2,"[68.418, 7.648, 1984, 6400000, 78371200]","[62.083, 7.935, 1986, 18500000, 183316455]","[25.605, 7.343, 1989, 70000000, 90000098]"
Harry Lloyd,2,"[10.649, 6.372, 2011, 13000000, 115890699]","[26.812, 7.858, 2014, 15000000, 123726688]","[680.163, 8.442, 0, 0, 0]"
Ellen Pompeo,1,"[64.881, 7.973, 2002, 52000000, 352114312]","[24.995, 5.255, 2003, 78000000, 179179718]","[948.659, 8.251, 0, 0, 0]"
Matt Rife,2,"[1.609, 4.95, 2020, 0, 0]","[1.985, 5.8, 2021, 0, 0]","[368.644, 8.226, 0, 42, 19]"
Terry Crews,2,"[97.445, 6.921, 2004, 37000000, 113086475]","[83.547, 7.492, 2018, 110000000, 785896609]","[368.644, 8.226, 0, 42, 19]"
Sabrina Carpenter,1,"[18.526, 6.345, 2019, 0, 0]","[12.378, 7.602, 2020, 0, 0]","[20.175, 8.286, 2020, 0, 0]"
Annabella Sciorra,1,"[17.906, 6.847, 1992, 11700000, 88036683]","[27.138, 6.797, 1997, 15000000, 44862187]","[25.639, 7.194, 1998, 85000000, 71485043]"
Nichole Sakura,1,"[89.937, 6.847, 2012, 12000000, 102731865]","[9.782, 5.447, 2016, 0, 0]","[118.706, 7.565, 0, 0, 0]"
Christopher Lloyd,2,"[75.178, 8.312, 1985, 19000000, 381109762]","[44.87, 7.753, 1989, 40000000, 332000000]","[37.815, 7.465, 1990, 40000000, 244527583]"
Rachel Nichols,1,"[19.835, 6.173, 2007, 3500000, 7766240]","[52.124, 5.767, 2009, 175000000, 302469017]","[53.304, 7.52, 0, 0, 350000]"
LaMonica Garrett,2,"[15.91, 6.187, 2011, 195000000, 1123794079]","[34.886, 6.265, 2015, 50000000, 242786137]","[309.452, 7.33, 0, 0, 0]"
Colin Firth,2,"[26.477, 7.7, 2010, 15000000, 414211549]","[69.538, 7.635, 2014, 81000000, 414351546]","[63.52, 6.971, 2017, 104000000, 410902662]"
Bonnie Aarons,1,"[34.582, 7.131, 2012, 21000000, 236412453]","[98.322, 7.292, 2016, 40000000, 321834351]","[152.086, 5.89, 2018, 22000000, 365582797]"
Pamela Adlon,1,"[26.593, 7.191, 2003, 5000000, 0]","[36.876, 6.729, 2018, 135000000, 467989645]","[185.08, 7.656, 0, 0, 0]"
Eric McCormack,2,"[95.476, 7.584, 0, 0, 0]","[113.974, 6.929, 0, 0, 0]","[99.568, 7.217, 0, 0, 58147]"
Sean Connery,2,"[62.084, 7.849, 1989, 48000000, 474171806]","[34.425, 7.107, 1996, 75000000, 335062621]","[25.873, 5.952, 2003, 78000000, 179265204]"
Jefferson Hall,2,"[45.599, 7.203, 2009, 90000000, 524028679]","[51.849, 6.5, 2018, 10000000, 259900000]","[63.032, 7.189, 2020, 205000000, 365304105]"
Skyler Samuels,1,"[18.13, 6.792, 2015, 8500000, 43528634]","[820.047, 6.77, 2023, 129000000, 384056482]","[52.215, 7.9, 0, 5000000, 3142154]"
Alan Alda,2,"[30.758, 6.439, 2000, 70000000, 374111707]","[21.159, 7.225, 2015, 40000000, 165478348]","[24.379, 7.751, 2019, 18000000, 2300000]"
Eartha Kitt,1,"[91.683, 7.55, 2000, 100000000, 169327687]","[18.286, 6.831, 2003, 20000000, 71406573]","[27.374, 6.389, 2005, 0, 0]"
Jordana Brewster,1,"[9.515, 6.967, 2001, 38000000, 207283925]","[11.033, 7.251, 2011, 125000000, 626137675]","[8.888, 6.817, 2013, 160000000, 788680968]"
Katherine McNamara,1,"[68.931, 6.725, 2015, 61000000, 312296056]","[63.188, 7.11, 2018, 62000000, 288175335]","[436.182, 6.799, 0, 1200000, 24741667]"
Vera Miles,1,"[22.909, 7.717, 1956, 3750000, 0]","[51.866, 8.435, 1960, 806947, 32000000]","[16.382, 7.787, 1962, 3200000, 8000000]"
Kelly Greyson,1,"[9.3, 7.181, 2015, 20000000, 6485961]","[15.666, 5.671, 2021, 0, 95813]","[29.736, 5.917, 2021, 20000000, 52169]"
Erica Cerra,1,"[63.733, 6.212, 2010, 95000000, 226497209]","[41.307, 6.275, 2017, 105000000, 142337240]","[873.812, 8.302, 0, 0, 793604]"
Sienna Guillory,1,"[26.408, 6.341, 2004, 45000000, 129394835]","[27.609, 5.075, 2006, 100000000, 249288105]","[4.297, 5.806, 2012, 65000000, 240159255]"
Dave Franco,2,"[28.157, 6.878, 2012, 42000000, 201585328]","[56.39, 7.344, 2013, 75000000, 351723989]","[19.661, 7.0, 2016, 19000000, 85241496]"
Sabrina Qiu,1,"[23.819, 5.678, 2016, 32000000, 58500000]","[6.665, 5.8, 2019, 0, 0]","[10.302, 4.5, 2022, 0, 0]"
Kit Harington,2,"[18.481, 5.527, 2014, 100000000, 117831631]","[60.495, 7.671, 2014, 145000000, 621537519]","[680.163, 8.442, 0, 0, 0]"
Stephen Lang,2,"[145.845, 7.575, 2009, 237000000, 2923706026]","[40.326, 7.112, 2021, 10000000, 53785551]","[350.617, 7.65, 2022, 460000000, 2320250281]"
Jeremy Renner,2,"[27.125, 6.214, 2012, 130000000, 276572938]","[64.457, 6.032, 2013, 50000000, 226349749]","[53.979, 7.589, 2016, 47000000, 203388186]"
Saoirse Ronan,1,"[32.382, 7.075, 2009, 65000000, 93621340]","[32.432, 7.273, 2017, 10000000, 78966486]","[36.364, 7.893, 2019, 40000000, 216601214]"
Jake Busey,2,"[40.062, 7.038, 1997, 105000000, 121214377]","[21.909, 7.01, 1998, 90000000, 250649836]","[53.175, 5.628, 2018, 88000000, 160542134]"
Karen Robinson,1,"[15.346, 7.157, 2007, 12000000, 11293663]","[10.091, 6.066, 2022, 0, 0]","[17.283, 6.737, 0, 0, 0]"
Victoria Pedretti,1,"[54.679, 7.438, 2019, 95000000, 374251247]","[121.177, 8.068, 0, 0, 0]","[66.922, 7.651, 0, 0, 0]"
Claire Danes,1,"[28.337, 6.8, 1996, 14500000, 147298761]","[45.409, 6.145, 2003, 200000000, 435000000]","[29.976, 7.261, 2007, 70000000, 137515140]"
"Henry Louis Gates, Jr.",2,"[9.495, 7.954, 2016, 0, 0]","[41.839, 7.0, 0, 0, 0]","[726.641, 7.999, 0, 0, 0]"
Shawn Ashmore,2,"[1.931, 7.03, 2003, 110000000, 407711549]","[1.799, 6.406, 2006, 210000000, 459359555]","[61.389, 7.525, 2014, 250000000, 747862775]"
Peter Mullan,2,"[19.703, 7.968, 1996, 4000000, 16491080]","[15.192, 6.156, 2001, 1500000, 1612259]","[33.415, 7.306, 2011, 66000000, 177584879]"
Amanda Schull,1,"[12.057, 6.938, 2000, 29000000, 26385941]","[592.363, 8.208, 0, 0, 0]","[80.982, 7.44, 0, 0, 0]"
Ayo Edebiri,1,"[575.089, 8.41, 2023, 100000000, 683241751]","[352.58, 7.336, 2023, 75000000, 180000000]","[104.1, 8.25, 0, 0, 0]"
Tina Fey,1,"[19.725, 6.083, 2010, 55000000, 152263880]","[57.679, 6.965, 2010, 130000000, 321885765]","[139.026, 8.148, 2020, 150000000, 136384442]"
Sarah Wright,1,"[14.834, 5.822, 2013, 13000000, 48065672]","[17.976, 5.954, 2014, 0, 8122990]","[27.519, 6.9, 2017, 50000000, 133511855]"
Zach Gilford,2,"[23.721, 6.042, 2013, 30000000, 0]","[76.148, 6.651, 2014, 9000000, 111928365]","[49.914, 7.531, 0, 0, 0]"
Melina Kanakaredes,1,"[63.733, 6.212, 2010, 95000000, 226497209]","[19.659, 6.087, 2013, 35000000, 42930462]","[205.772, 7.346, 0, 0, 0]"
Richard Ayoade,2,"[18.662, 5.57, 2012, 68000000, 68267862]","[139.026, 8.148, 2020, 150000000, 136384442]","[72.872, 8.115, 0, 0, 0]"
Jennifer Grey,1,"[24.041, 7.604, 1986, 6000000, 70136369]","[32.129, 7.344, 1987, 6000000, 214577242]","[9.174, 7.143, 2014, 1000000, 0]"
Jessica Biel,1,"[63.495, 6.245, 2003, 9500000, 107363905]","[37.685, 5.854, 2004, 65000000, 128905366]","[42.363, 6.001, 2012, 125000000, 198802074]"
Bitty Schram,1,"[20.506, 7.171, 1992, 40000000, 132440069]","[11.415, 6.423, 1996, 0, 97529550]","[340.904, 7.888, 0, 0, 0]"
Joan Plowright,1,"[25.351, 5.799, 1993, 35000000, 117270765]","[35.989, 5.901, 1996, 54000000, 320689294]","[34.804, 6.62, 2008, 90000000, 164170327]"
Isabela Merced,1,"[66.4, 6.061, 2017, 217000000, 605425157]","[23.301, 6.674, 2019, 49000000, 120597108]","[16.737, 6.092, 2019, 0, 0]"
John Hannah,2,"[69.075, 6.91, 1999, 80000000, 415885488]","[67.692, 6.362, 2001, 98000000, 443280904]","[31.201, 5.472, 2008, 145000000, 403449830]"
Joanne Whalley,1,"[15.003, 7.983, 1982, 12000000, 22244207]","[26.926, 7.022, 1988, 35000000, 57269863]","[15.484, 6.333, 1997, 20000000, 13801755]"
Sofia Carson,1,"[34.727, 7.203, 2016, 0, 0]","[18.539, 7.621, 2020, 0, 0]","[59.295, 8.143, 2022, 0, 0]"
Randall Park,2,"[42.082, 6.189, 2014, 44000000, 12342632]","[73.167, 6.899, 2018, 160000000, 1148528393]","[126.324, 8.259, 0, 0, 0]"
Vanessa Marshall,1,"[125.55, 8.069, 0, 0, 170215]","[91.361, 7.691, 0, 0, 0]","[308.239, 8.648, 0, 0, 0]"
Donnie Yen,2,"[17.594, 7.753, 2008, 11715578, 22108789]","[36.053, 7.49, 2016, 200000000, 1056057273]","[72.183, 6.139, 2017, 85000000, 346147658]"
Vincent D'Onofrio,2,"[39.967, 8.136, 1987, 30000000, 46357676]","[68.458, 7.187, 1997, 90000000, 589390539]","[78.618, 6.682, 2015, 150000000, 1671537444]"
Stuart Pankin,2,"[25.444, 6.846, 1987, 14000000, 320145693]","[10.294, 6.368, 1990, 31000000, 53208180]","[87.074, 7.775, 0, 0, 0]"
Marilu Henner,1,"[9.874, 6.453, 1991, 0, 0]","[29.48, 7.493, 1993, 6000000, 5617391]","[8.011, 6.79, 2015, 0, 0]"
James Purefoy,2,"[26.234, 6.612, 2002, 33000000, 102984862]","[24.846, 6.0, 2009, 45000000, 19652185]","[11.351, 6.145, 2011, 25000000, 5151023]"
Natalia Tena,1,"[146.843, 7.686, 2007, 150000000, 938212738]","[142.88, 7.695, 2009, 250000000, 933959197]","[158.527, 8.104, 2011, 125000000, 1341511219]"
Russell Brand,2,"[66.161, 7.23, 2010, 69000000, 533679475]","[19.167, 5.727, 2011, 63000000, 183953723]","[66.581, 6.918, 2013, 76000000, 970761885]"
James McAvoy,2,"[2.382, 7.297, 2011, 160000000, 353624124]","[69.023, 6.512, 2016, 178000000, 543934787]","[56.839, 7.338, 2017, 9000000, 278454358]"
Bridget Regan,1,"[58.857, 7.422, 2014, 20000000, 88761661]","[14.724, 6.9, 2017, 0, 0]","[63.249, 7.533, 0, 0, 0]"
Christian Cooke,2,"[8.673, 6.53, 2010, 0, 0]","[14.657, 6.7, 2013, 0, 1162635]","[32.391, 7.839, 2014, 0, 4439431]"
Sarah Bolger,1,"[34.804, 6.62, 2008, 90000000, 164170327]","[18.82, 5.247, 2015, 3300000, 64110728]","[10.31, 5.216, 2016, 0, 0]"
Tanner Buchanan,2,"[32.027, 6.593, 2021, 0, 0]","[201.728, 8.217, 0, 0, 0]","[79.204, 7.172, 0, 0, 0]"
Corey Stoll,2,"[56.197, 7.082, 2015, 130000000, 519311965]","[33.376, 7.045, 2018, 70000000, 105713218]","[132.597, 7.491, 0, 0, 0]"
Hugh Bonneville,2,"[27.434, 7.262, 1999, 42000000, 363889678]","[29.066, 7.068, 2014, 55000000, 259207227]","[19.966, 7.138, 2019, 20000000, 192199131]"
Paul Kaye,2,"[24.978, 7.349, 2005, 15000000, 85306374]","[21.879, 6.401, 2014, 70000000, 217124280]","[23.04, 5.962, 2015, 150000000, 128388320]"
Christian Kane,2,"[20.448, 5.758, 2003, 18000000, 101564935]","[24.054, 5.569, 2004, 25000000, 71255003]","[81.353, 7.257, 0, 0, 0]"
Samantha Morton,1,"[29.135, 7.342, 2002, 102000000, 358372926]","[53.703, 6.303, 2012, 250000000, 284139100]","[68.803, 7.3, 2016, 180000000, 809342332]"
Lili Simmons,1,"[15.164, 6.647, 2011, 0, 0]","[20.401, 6.826, 2015, 1800000, 0]","[50.853, 6.926, 0, 0, 0]"
Daran Norris,2,"[14.657, 6.71, 2004, 32000000, 50907422]","[56.465, 6.498, 2008, 150000000, 309979994]","[144.514, 7.579, 0, 0, 0]"
Jonathan Groff,2,"[127.504, 7.246, 2013, 150000000, 1274219009]","[105.249, 7.3, 2019, 150000000, 1450000000]","[93.169, 8.075, 0, 0, 0]"
Ving Rhames,2,"[84.273, 8.489, 1994, 8500000, 213900000]","[51.326, 6.723, 2006, 150000000, 398479497]","[121.559, 7.418, 2018, 178000000, 791657398]"
Dev Patel,2,"[26.59, 7.733, 2008, 15000000, 378410542]","[48.831, 6.776, 2015, 49000000, 104399548]","[27.696, 8.084, 2016, 12000000, 140312928]"
Sebastian Stan,2,"[53.529, 6.995, 2011, 140000000, 370569774]","[41.798, 7.669, 2014, 170000000, 714766572]","[98.418, 7.442, 2016, 250000000, 1155046416]"
Emilie de Ravin,1,"[54.355, 6.408, 2006, 15000000, 69623713]","[12.083, 6.816, 2006, 475000, 3919254]","[29.91, 7.103, 2010, 16000000, 56032889]"
Snoop Dogg,2,"[48.328, 7.489, 2001, 45000000, 104900000]","[19.512, 5.794, 2004, 60000000, 170268750]","[26.887, 6.19, 2013, 135000000, 282570682]"
Tia Carrere,1,"[16.911, 6.695, 1992, 20000000, 183097323]","[31.011, 7.058, 1994, 115000000, 378882411]","[71.847, 7.518, 2002, 80000000, 273144151]"
Jaime Camil,2,"[15.415, 6.268, 2016, 75000000, 875457937]","[398.279, 8.218, 2017, 175000000, 800526015]","[11.506, 7.701, 0, 0, 0]"
Michael Greyeyes,2,"[20.268, 5.783, 2019, 0, 0]","[38.632, 8.175, 2019, 0, 0]","[18.582, 5.657, 2022, 12000000, 15039250]"
Hero Fiennes Tiffin,2,"[183.984, 7.135, 2019, 14000000, 69500000]","[135.108, 7.199, 2020, 14000000, 48000000]","[157.162, 7.098, 2021, 14000000, 21800000]"
Bill Nighy,2,"[32.285, 7.106, 2003, 40000000, 247933248]","[105.083, 7.347, 2006, 200000000, 1065659812]","[42.928, 7.9, 2013, 12000000, 87100449]"
Peter Falk,2,"[24.985, 7.675, 1987, 16000000, 30861665]","[55.445, 6.0, 2004, 75000000, 367275019]","[478.775, 8.048, 0, 15000000, 146292000]"
Natalie Morales,1,"[138.792, 8.405, 2018, 90000000, 375464627]","[48.241, 6.334, 2021, 30000000, 29942746]","[220.937, 7.1, 2023, 45000000, 82995526]"
Ally Sheedy,1,"[24.947, 7.75, 1985, 1000000, 51525171]","[25.441, 6.572, 1986, 10000000, 40697761]","[69.023, 6.512, 2016, 178000000, 543934787]"
Stephen McHattie,2,"[51.906, 7.176, 2007, 65000000, 456082343]","[39.298, 7.334, 2009, 130000000, 185258983]","[13.865, 6.46, 2009, 1500000, 32000]"
Em Haine,1,"[111.887, 7.607, 2016, 58000000, 783100000]","[8.866, 5.819, 2016, 0, 0]","[14.247, 6.784, 2018, 0, 15636462]"
Kevin Michael Richardson,2,"[71.847, 7.518, 2002, 80000000, 273144151]","[535.021, 7.758, 2023, 100000000, 1355725263]","[34.683, 7.043, 0, 0, 0]"
Adam West,2,"[21.476, 6.3, 1966, 1377800, 3900000]","[12.256, 6.465, 2016, 3500000, 0]","[205.942, 7.371, 0, 0, 0]"
Gwyneth Paltrow,1,"[67.642, 8.37, 1995, 33000000, 327311859]","[95.973, 6.835, 2010, 200000000, 623933331]","[74.059, 6.927, 2013, 200000000, 1215577205]"
Jessica Lowe,1,"[59.85, 6.87, 2014, 40000000, 127994610]","[47.547, 7.148, 2018, 0, 0]","[56.215, 6.475, 2020, 0, 0]"
Kathleen Munroe,1,"[21.461, 4.878, 2010, 4000000, 0]","[16.16, 5.918, 2016, 0, 151042]","[14.36, 6.5, 2019, 0, 0]"
Jacki Weaver,1,"[34.582, 7.131, 2012, 21000000, 236412453]","[15.703, 7.111, 2017, 10000000, 29820616]","[33.932, 6.853, 2018, 19800000, 0]"
Heath Ledger,2,"[49.253, 7.584, 1999, 16000000, 53478166]","[40.002, 7.802, 2005, 14000000, 178043761]","[127.121, 8.513, 2008, 185000000, 1004558444]"
Amy Landecker,1,"[47.148, 6.743, 2015, 12000000, 33213241]","[75.069, 7.427, 2016, 180000000, 676343174]","[18.708, 6.477, 2020, 0, 0]"
Hugh Dancy,2,"[22.802, 6.446, 2004, 31000000, 27388767]","[25.699, 6.447, 2009, 40000000, 108332743]","[94.846, 8.2, 0, 0, 0]"
Hunter King,1,"[27.371, 7.04, 2001, 100000000, 235926552]","[5.607, 7.103, 2015, 0, 0]","[4.941, 6.38, 2022, 0, 0]"
Peter Krause,2,"[67.653, 8.134, 1998, 60000000, 264118201]","[378.366, 8.22, 0, 0, 0]","[152.199, 8.103, 0, 0, 0]"
Sandahl Bergman,1,"[31.77, 6.796, 1982, 20000000, 79114085]","[13.951, 5.295, 1985, 17900000, 6948633]","[7.986, 5.6, 1988, 0, 0]"
Mathew St. Patrick,2,"[43.254, 6.297, 2007, 25000000, 40452643]","[9.335, 5.336, 2008, 0, 0]","[152.199, 8.103, 0, 0, 0]"
Janine Turner,1,"[27.782, 6.477, 1993, 70000000, 255000211]","[20.047, 6.397, 2015, 0, 22586863]","[56.027, 7.841, 0, 0, 0]"
Lance Barber,2,"[11.417, 5.799, 2008, 58000000, 41299492]","[13.933, 6.357, 2013, 60000000, 105200903]","[375.353, 8.048, 0, 0, 0]"
Tobias Jelinek,2,"[53.619, 7.056, 1993, 28000000, 50800000]","[35.206, 4.335, 1997, 125000000, 238207122]","[15.746, 6.075, 2014, 0, 2405143]"
Eric Stoltz,2,"[16.982, 5.541, 1989, 0, 38903179]","[84.273, 8.489, 1994, 8500000, 213900000]","[42.621, 7.562, 2004, 13000000, 96060858]"
Cliff Robertson,2,"[107.62, 7.282, 2002, 139000000, 821708551]","[32.997, 7.3, 2004, 200000000, 788976453]","[93.908, 6.401, 2007, 258000000, 894983373]"
Terrence Howard,2,"[106.512, 7.639, 2008, 140000000, 585174222]","[38.681, 8.093, 2013, 46000000, 122126687]","[89.573, 7.183, 0, 0, 0]"
Kathy Bates,1,"[22.132, 7.753, 1990, 20000000, 61276872]","[23.595, 7.684, 1991, 11000000, 119418501]","[139.51, 7.9, 1997, 200000000, 2264162353]"
Cindy Crawford,1,"[14.99, 4.992, 1995, 50000000, 11534477]","[5.516, 5.077, 2000, 0, 12963702]","[24.455, 7.914, 2021, 0, 0]"
Yuri Lowenthal,2,"[129.064, 7.735, 2014, 165000000, 657827828]","[72.204, 8.334, 0, 0, 0]","[117.116, 8.197, 0, 0, 0]"
Olivia Colman,1,"[22.499, 7.039, 2015, 4000000, 15656193]","[19.442, 7.537, 2018, 15000000, 95918706]","[43.684, 8.147, 2020, 6000000, 21029340]"
Richard Riehle,2,"[24.988, 7.382, 1999, 10000000, 12827813]","[17.81, 7.616, 2007, 200000, 0]","[72.345, 5.925, 2014, 210000000, 1104054072]"
Sean Patrick Thomas,2,"[30.056, 6.788, 1999, 10500000, 76347426]","[15.59, 6.544, 2001, 13000000, 131706809]","[50.433, 5.695, 2019, 9000000, 122033739]"
Ella Purnell,1,"[60.042, 6.822, 2016, 110000000, 296482446]","[49.025, 6.243, 2021, 90000000, 190700000]","[100.37, 8.743, 0, 0, 0]"
Anthony Michael Hall,2,"[24.947, 7.75, 1985, 1000000, 51525171]","[53.421, 7.718, 1990, 20000000, 53000000]","[127.121, 8.513, 2008, 185000000, 1004558444]"
Craig Ferguson,2,"[68.97, 7.815, 2010, 165000000, 494879471]","[85.375, 7.014, 2012, 185000000, 538983207]","[60.495, 7.671, 2014, 145000000, 621537519]"
Joanna Cassidy,1,"[66.932, 7.933, 1982, 28000000, 41722424]","[42.461, 7.52, 1988, 70000000, 329803958]","[14.012, 6.139, 1991, 10000000, 25196249]"
Robert Englund,2,"[41.449, 5.777, 1985, 3000000, 30000000]","[26.416, 5.831, 1988, 13000000, 49400000]","[49.618, 6.038, 2003, 30000000, 116643421]"
Melissa Benoist,1,"[74.249, 8.383, 2014, 3300000, 13092000]","[21.404, 7.586, 2015, 34000000, 63013281]","[309.452, 7.33, 0, 0, 0]"
Jace Norman,2,"[9.858, 6.8, 2015, 0, 0]","[9.684, 7.5, 2018, 0, 0]","[98.996, 8.255, 0, 0, 0]"
Lainie Kazan,1,"[15.861, 6.49, 2002, 5000000, 368744044]","[54.185, 5.7, 2008, 90000000, 204313400]","[53.013, 5.718, 2015, 88000000, 244874809]"
Colm Feore,2,"[91.98, 6.767, 2011, 150000000, 449326618]","[100.581, 6.501, 2014, 200000000, 708962323]","[94.849, 8.597, 0, 0, 0]"
Anthony Molinari,2,"[28.157, 6.878, 2012, 42000000, 201585328]","[56.39, 7.344, 2013, 75000000, 351723989]","[63.032, 7.189, 2020, 205000000, 365304105]"
Haydn Gwynne,1,"[75.291, 6.968, 2017, 160000000, 1266115964]","[10.25, 6.442, 0, 0, 0]","[128.943, 8.536, 0, 0, 0]"
Bruce Boxleitner,2,"[25.212, 6.668, 1982, 17000000, 33000000]","[46.257, 6.459, 2010, 170000000, 400062763]","[165.336, 8.1, 0, 0, 0]"
Robert Pine,2,"[49.32, 6.87, 1996, 75000000, 817400891]","[16.426, 6.378, 2005, 26000000, 57891803]","[127.504, 7.246, 2013, 150000000, 1274219009]"
Judith Roberts,1,"[15.825, 7.398, 1977, 100000, 7000000]","[49.746, 6.414, 2007, 20000000, 22217407]","[24.798, 6.556, 2017, 0, 10891281]"
Kim Fields,1,"[22.728, 6.0, 2012, 40000000, 79700000]","[10.534, 5.645, 2014, 0, 0]","[16.906, 7.344, 2017, 0, 2587072]"
Rachel Ward,1,"[10.98, 6.634, 1982, 9000000, 18196170]","[16.033, 5.742, 1984, 0, 0]","[22.41, 6.697, 2018, 50000000, 351266433]"
Shannon Chan-Kent,1,"[16.965, 6.894, 2014, 0, 0]","[79.03, 7.3, 2020, 85000000, 319715683]","[44.776, 8.322, 0, 0, 0]"
Richard Crenna,2,"[63.685, 7.481, 1982, 15000000, 125212904]","[74.508, 6.625, 1985, 44000000, 300400432]","[53.88, 6.177, 1988, 63000000, 189015611]"
Elizabeth Berridge,1,"[14.839, 5.862, 1981, 0, 7886857]","[31.626, 8.035, 1984, 18000000, 51973029]","[19.828, 6.839, 1999, 90000000, 161626121]"
Rick Gonzalez,2,"[34.349, 7.564, 2005, 30000000, 76669806]","[49.113, 6.5, 2005, 132000000, 603873119]","[436.182, 6.799, 0, 1200000, 24741667]"
Scott Caan,2,"[38.159, 7.431, 2001, 85000000, 450717150]","[26.994, 6.565, 2004, 110000000, 362744280]","[272.315, 7.733, 0, 0, 0]"
Alicia Witt,1,"[17.158, 5.677, 1998, 14000000, 72527595]","[16.776, 6.357, 2002, 60000000, 199043242]","[14.451, 5.763, 2007, 30000000, 32593385]"
Steven Bauer,2,"[81.492, 8.165, 1983, 25000000, 66023329]","[29.01, 7.651, 1996, 30000000, 102616183]","[19.716, 7.052, 2000, 48000000, 207515725]"
Courtney Thorne-Smith,1,"[8.062, 5.987, 2009, 0, 0]","[114.467, 6.594, 0, 0, 0]","[46.087, 6.489, 0, 829000, 2247500]"
Suzanne Somers,1,"[29.156, 7.136, 1973, 0, 39768000]","[79.851, 7.775, 0, 24000000, 43455230]","[89.027, 7.869, 0, 0, 0]"
Sarah Chalke,1,"[16.018, 5.99, 2016, 25000000, 48782670]","[879.987, 8.701, 0, 0, 0]","[229.669, 8.031, 0, 0, 0]"
Taylor Kitsch,2,"[53.703, 6.303, 2012, 250000000, 284139100]","[49.272, 5.814, 2012, 209000000, 303025485]","[14.215, 6.348, 2012, 45000000, 82966152]"
Sanaa Lathan,1,"[33.03, 5.896, 2004, 70000000, 177427090]","[42.128, 6.831, 2016, 90000000, 334901337]","[9.995, 7.187, 2018, 0, 0]"
Queen Latifah,1,"[68.273, 6.692, 2006, 80000000, 660998756]","[82.488, 6.74, 2009, 90000000, 886686817]","[60.643, 6.362, 2012, 95000000, 877244782]"
