name,oscar_total,gg_total,cc_total,awards_total
Willem Dafoe,4.0,5.0,4.0,13.0
Alexandra Daddario,0.0,0.0,0.0,0.0
Paul Giamatti,1.0,7.0,5.0,13.0
Eva Green,0.0,0.0,0.0,0.0
Joey King,0.0,0.0,0.0,0.0
Tilda Swinton,3.0,5.0,4.0,12.0
Frank Welker,0.0,0.0,0.0,0.0
Kate Beckinsale,0.0,0.0,2.0,2.0
Idris Elba,0.0,3.0,0.0,3.0
Antonio Banderas,1.0,6.0,2.0,9.0
Michael Sheen,0.0,0.0,0.0,0.0
Tobey Maguire,0.0,2.0,0.0,2.0
Zach Galifianakis,0.0,0.0,0.0,0.0
Will Ferrell,0.0,3.0,0.0,3.0
Keira Knightley,2.0,5.0,3.0,10.0
María Valverde,0.0,0.0,0.0,0.0
Bruce Willis,0.0,1.0,0.0,1.0
Michael Keaton,1.0,2.0,2.0,5.0
Tom Cruise,3.0,12.0,2.0,17.0
Lacey Chabert,0.0,0.0,0.0,0.0
Jeremy Piven,0.0,0.0,0.0,0.0
Clint Eastwood,2.0,0.0,2.0,4.0
Hayden Christensen,0.0,1.0,0.0,1.0
Samuel L. Jackson,1.0,4.0,0.0,5.0
Thomas Lennon,0.0,0.0,0.0,0.0
Tina Majorino,0.0,0.0,0.0,0.0
Natalie Portman,5.0,8.0,5.0,18.0
Asa Butterfield,0.0,0.0,0.0,0.0
Elisha Cuthbert,0.0,0.0,0.0,0.0
Famke Janssen,0.0,0.0,0.0,0.0
Travis Fimmel,0.0,0.0,0.0,0.0
Henry Winkler,0.0,4.0,0.0,4.0
Vera Farmiga,1.0,1.0,2.0,4.0
Katie McGrath,0.0,0.0,0.0,0.0
Courteney Cox,0.0,0.0,0.0,0.0
Charlie Hunnam,0.0,0.0,0.0,0.0
Ray Liotta,0.0,1.0,0.0,1.0
Daniel Craig,0.0,4.0,0.0,4.0
Kristen Wiig,0.0,2.0,0.0,2.0
Dakota Johnson,0.0,0.0,0.0,0.0
Mimi Rogers,0.0,0.0,0.0,0.0
Chris Hemsworth,0.0,0.0,0.0,0.0
Chloë Grace Moretz,0.0,0.0,0.0,0.0
Steven Seagal,0.0,0.0,0.0,0.0
Chris Pine,0.0,0.0,0.0,0.0
Laurence Fishburne,1.0,0.0,0.0,1.0
Kathryn Newton,0.0,0.0,0.0,0.0
Téa Leoni,0.0,0.0,0.0,0.0
Uma Thurman,1.0,5.0,2.0,8.0
Jamie Dornan,0.0,1.0,1.0,2.0
Colleen Camp,0.0,0.0,0.0,0.0
John Cena,0.0,0.0,0.0,0.0
Dolph Lundgren,0.0,0.0,0.0,0.0
Rachel Weisz,4.0,4.0,2.0,10.0
John Cusack,0.0,2.0,0.0,2.0
Ashley Johnson,0.0,0.0,0.0,0.0
Bobby Cannavale,0.0,0.0,0.0,0.0
Orlando Bloom,0.0,0.0,0.0,0.0
Chris Tucker,0.0,0.0,0.0,0.0
Bella Thorne,0.0,0.0,0.0,0.0
Danny DeVito,0.0,4.0,0.0,4.0
Robert Wagner,0.0,0.0,0.0,0.0
Shea Whigham,0.0,0.0,0.0,0.0
Anna Camp,0.0,0.0,0.0,0.0
Michael Cera,0.0,0.0,0.0,0.0
Jenna Coleman,0.0,0.0,0.0,0.0
Richard Gere,0.0,8.0,0.0,8.0
Jack Black,0.0,4.0,0.0,4.0
Margot Robbie,2.0,7.0,7.0,16.0
Alicia Silverstone,0.0,0.0,0.0,0.0
Jason Bateman,0.0,0.0,0.0,0.0
Kenneth Branagh,2.0,1.0,1.0,4.0
Alec Baldwin,1.0,1.0,1.0,3.0
Jason Momoa,0.0,0.0,0.0,0.0
Jeri Ryan,0.0,0.0,0.0,0.0
Kaitlyn Dever,0.0,0.0,0.0,0.0
J.K. Simmons,0.0,0.0,0.0,0.0
Kate Siegel,0.0,0.0,0.0,0.0
Harvey Keitel,1.0,1.0,0.0,2.0
Scott Glenn,0.0,0.0,0.0,0.0
Fred Henderson,0.0,0.0,0.0,0.0
Giulio Berruti,0.0,0.0,0.0,0.0
Neal McDonough,0.0,0.0,0.0,0.0
Monica Bellucci,0.0,0.0,0.0,0.0
James Earl Jones,1.0,4.0,0.0,5.0
Dave Bautista,0.0,0.0,0.0,0.0
Aaron Eckhart,0.0,2.0,0.0,2.0
Josh Hartnett,0.0,0.0,0.0,0.0
Paul Rudd,0.0,0.0,0.0,0.0
Julianne Moore,7.0,15.0,6.0,28.0
Demi Moore,0.0,2.0,0.0,2.0
Alyssa Milano,0.0,0.0,0.0,0.0
Ralph Fiennes,2.0,8.0,2.0,12.0
Ron Livingston,0.0,0.0,0.0,0.0
Steve Zahn,0.0,0.0,0.0,0.0
Robert Pattinson,0.0,0.0,0.0,0.0
Elsa Pataky,0.0,0.0,0.0,0.0
Ian McShane,0.0,0.0,0.0,0.0
Stephen Root,0.0,0.0,0.0,0.0
Katherine Heigl,0.0,0.0,0.0,0.0
Michael Gambon,0.0,0.0,0.0,0.0
Brittany Murphy,0.0,0.0,0.0,0.0
Katie Parker,0.0,0.0,0.0,0.0
Denise Richards,0.0,0.0,0.0,0.0
Kate Mara,0.0,0.0,0.0,0.0
Lance Reddick,0.0,0.0,0.0,0.0
Dan Stevens,0.0,0.0,0.0,0.0
Kaya Scodelario,0.0,0.0,0.0,0.0
Tom Selleck,0.0,0.0,0.0,0.0
Elizabeth Banks,0.0,0.0,0.0,0.0
Mark Wahlberg,1.0,3.0,0.0,4.0
Hiroyuki Sanada,0.0,0.0,0.0,0.0
Fisher Stevens,0.0,0.0,0.0,0.0
Mayumi Tanaka,0.0,0.0,0.0,0.0
Alan Rickman,0.0,0.0,0.0,0.0
Rosamund Pike,1.0,7.0,2.0,10.0
Morena Baccarin,0.0,0.0,0.0,0.0
Jennifer Garner,0.0,0.0,0.0,0.0
Shailene Woodley,0.0,1.0,1.0,2.0
Andy Samberg,0.0,2.0,0.0,2.0
Tom Kenny,0.0,0.0,0.0,0.0
Andrew Garfield,2.0,5.0,5.0,12.0
Mary Elizabeth Winstead,0.0,0.0,0.0,0.0
Jon Bernthal,0.0,0.0,0.0,0.0
Kate Winslet,9.0,16.0,7.0,32.0
Robert De Niro,11.0,17.0,4.0,32.0
Sigourney Weaver,3.0,8.0,0.0,11.0
Annie Potts,0.0,0.0,0.0,0.0
Anna Kendrick,1.0,1.0,1.0,3.0
Ernie Hudson,0.0,0.0,0.0,0.0
Paul Walker,0.0,0.0,0.0,0.0
Robert Downey Jr.,2.0,6.0,2.0,10.0
Alexander Skarsgård,0.0,0.0,0.0,0.0
Krista Allen,0.0,0.0,0.0,0.0
Selma Blair,0.0,0.0,0.0,0.0
Jennifer Morrison,0.0,0.0,0.0,0.0
Gina Rodriguez,0.0,0.0,0.0,0.0
Maya Rudolph,0.0,0.0,0.0,0.0
Robert Redford,1.0,4.0,2.0,7.0
Robert Duvall,9.0,5.0,3.0,17.0
Jon Favreau,0.0,0.0,0.0,0.0
Adèle Exarchopoulos,0.0,0.0,0.0,0.0
Imelda Staunton,1.0,2.0,2.0,5.0
Anthony Hopkins,10.0,12.0,4.0,26.0
Miranda Cosgrove,0.0,0.0,0.0,0.0
Dennis Quaid,0.0,1.0,0.0,1.0
Scottie Thompson,0.0,0.0,0.0,0.0
Glenn Close,8.0,11.0,1.0,20.0
April Bowlby,0.0,0.0,0.0,0.0
Will Poulter,0.0,0.0,0.0,0.0
Joel Kinnaman,0.0,0.0,0.0,0.0
Brooke Smith,0.0,0.0,0.0,0.0
Oscar Isaac,0.0,2.0,0.0,2.0
Sherilyn Fenn,0.0,0.0,0.0,0.0
Sandra Bullock,4.0,10.0,2.0,16.0
Bill Burr,0.0,0.0,0.0,0.0
Jodie Foster,8.0,17.0,1.0,26.0
Jennifer Love Hewitt,0.0,0.0,0.0,0.0
Phil LaMarr,0.0,0.0,0.0,0.0
Bill Skarsgård,0.0,0.0,0.0,0.0
Greta Scacchi,0.0,0.0,0.0,0.0
Lindy Booth,0.0,0.0,0.0,0.0
Mykelti Williamson,0.0,0.0,0.0,0.0
Natalie Dormer,0.0,0.0,0.0,0.0
Dwayne Johnson,0.0,0.0,0.0,0.0
Aaron Taylor-Johnson,0.0,1.0,0.0,1.0
Rachel McAdams,1.0,0.0,1.0,2.0
Tommy Lee Jones,6.0,4.0,1.0,11.0
Piper Perabo,0.0,0.0,0.0,0.0
Kim Sun-young,0.0,0.0,0.0,0.0
Debby Ryan,0.0,0.0,0.0,0.0
Kate Hudson,1.0,3.0,0.0,4.0
Chris Pratt,0.0,0.0,0.0,0.0
Jim Belushi,0.0,0.0,0.0,0.0
Benedict Wong,0.0,0.0,0.0,0.0
Peter Weller,0.0,0.0,0.0,0.0
Abigail Spencer,0.0,0.0,0.0,0.0
Wallace Shawn,0.0,0.0,0.0,0.0
Megan Fox,0.0,0.0,0.0,0.0
George Clooney,6.0,9.0,7.0,22.0
Diane Kruger,0.0,0.0,0.0,0.0
Helen Mirren,6.0,14.0,3.0,23.0
Sean Bean,0.0,0.0,0.0,0.0
Heather Graham,0.0,0.0,0.0,0.0
Cate Blanchett,12.0,19.0,15.0,46.0
Martin Scorsese,0.0,0.0,0.0,0.0
Anthony Mackie,0.0,0.0,0.0,0.0
Hugh Laurie,0.0,0.0,0.0,0.0
Malcolm McDowell,0.0,2.0,0.0,2.0
Amy Smart,0.0,0.0,0.0,0.0
Victoria Justice,0.0,0.0,0.0,0.0
Emma Thompson,6.0,17.0,3.0,26.0
Leslie Nielsen,0.0,0.0,0.0,0.0
Neve Campbell,0.0,0.0,0.0,0.0
Daryl Hannah,0.0,0.0,0.0,0.0
Rami Malek,3.0,2.0,2.0,7.0
Keri Russell,0.0,0.0,0.0,0.0
Jason Biggs,0.0,0.0,0.0,0.0
Sean Astin,0.0,0.0,0.0,0.0
Marina Sirtis,0.0,0.0,0.0,0.0
Alice Eve,0.0,0.0,0.0,0.0
Vince Vaughn,0.0,0.0,0.0,0.0
Toni Collette,1.0,4.0,2.0,7.0
Alexandra Breckenridge,0.0,0.0,0.0,0.0
Jeffrey Dean Morgan,0.0,0.0,0.0,0.0
Holly Hunter,6.0,5.0,2.0,13.0
Lizzy Caplan,0.0,0.0,0.0,0.0
Jeremy Irons,3.0,4.0,0.0,7.0
Ethan Hawke,2.0,1.0,3.0,6.0
Kim Kardashian,0.0,0.0,0.0,0.0
Michael Ironside,0.0,0.0,0.0,0.0
Steve Martin,0.0,10.0,0.0,10.0
Sarah Shahi,0.0,0.0,0.0,0.0
Nana Mizuki,0.0,0.0,0.0,0.0
Tom Ellis,0.0,0.0,0.0,0.0
Tim Curry,0.0,0.0,0.0,0.0
Bradley Cooper,4.0,7.0,7.0,18.0
Christopher Walken,4.0,1.0,0.0,5.0
Bobby Lee,0.0,0.0,0.0,0.0
Danny Trejo,0.0,0.0,0.0,0.0
Erin Moriarty,0.0,0.0,0.0,0.0
Tim Matheson,0.0,0.0,0.0,0.0
Winona Ryder,2.0,2.0,0.0,4.0
Peter Gallagher,0.0,0.0,0.0,0.0
Ali Larter,0.0,0.0,0.0,0.0
Lily James,0.0,0.0,0.0,0.0
Tania Raymonde,0.0,0.0,0.0,0.0
Margaret Colin,0.0,0.0,0.0,0.0
Gemma Arterton,0.0,0.0,0.0,0.0
Mark Dacascos,0.0,0.0,0.0,0.0
Alicia Vikander,3.0,3.0,1.0,7.0
Amanda Peet,0.0,0.0,0.0,0.0
Katrina Law,0.0,0.0,0.0,0.0
Jenny Slate,0.0,0.0,0.0,0.0
Lauren German,0.0,0.0,0.0,0.0
Daniel Kaluuya,4.0,3.0,3.0,10.0
Milla Jovovich,0.0,0.0,0.0,0.0
Steve Carell,1.0,6.0,0.0,7.0
Liv Tyler,0.0,0.0,0.0,0.0
Kevin Hart,0.0,0.0,0.0,0.0
Matt Bomer,0.0,0.0,0.0,0.0
Hugh Jackman,1.0,8.0,2.0,11.0
Mary Lynn Rajskub,0.0,0.0,0.0,0.0
Jim Carrey,0.0,12.0,0.0,12.0
Bruce Greenwood,0.0,0.0,0.0,0.0
Sarah Gadon,0.0,0.0,0.0,0.0
Jennifer Beals,0.0,2.0,0.0,2.0
Lucy Hale,0.0,0.0,0.0,0.0
Chris Evans,0.0,0.0,0.0,0.0
Joe Pesci,5.0,3.0,1.0,9.0
Jason Ritter,0.0,0.0,0.0,0.0
Peter Stormare,0.0,0.0,0.0,0.0
Frank Grillo,0.0,0.0,0.0,0.0
Freddie Highmore,0.0,0.0,0.0,0.0
Zooey Deschanel,0.0,0.0,0.0,0.0
Eric Dane,0.0,0.0,0.0,0.0
Roselyn Sánchez,0.0,0.0,0.0,0.0
Rose Byrne,0.0,0.0,0.0,0.0
Patrick Stewart,0.0,0.0,1.0,1.0
Ron Perlman,0.0,0.0,0.0,0.0
Michelle Yeoh,3.0,2.0,2.0,7.0
David Threlfall,0.0,0.0,0.0,0.0
Amanda Bynes,0.0,0.0,0.0,0.0
Ian Somerhalder,0.0,0.0,0.0,0.0
Antony Starr,0.0,0.0,0.0,0.0
Sharon Stone,1.0,7.0,0.0,8.0
James Brolin,0.0,0.0,0.0,0.0
Simon Helberg,0.0,1.0,0.0,1.0
Hugo Weaving,0.0,0.0,0.0,0.0
Josh Brolin,1.0,0.0,2.0,3.0
Jonathan Taylor Thomas,0.0,0.0,0.0,0.0
Jennifer Aniston,0.0,2.0,2.0,4.0
Woody Harrelson,3.0,3.0,1.0,7.0
Tom Arnold,0.0,0.0,0.0,0.0
Rainn Wilson,0.0,0.0,0.0,0.0
Brittany Snow,0.0,0.0,0.0,0.0
Trisha Krishnan,0.0,0.0,0.0,0.0
Meagan Good,0.0,0.0,0.0,0.0
Yuichi Nakamura,0.0,0.0,0.0,0.0
Kyra Sedgwick,0.0,1.0,0.0,1.0
Dawn Olivieri,0.0,0.0,0.0,0.0
Christopher Meloni,0.0,0.0,0.0,0.0
Jason Lee,0.0,0.0,0.0,0.0
Paul Anderson,0.0,0.0,0.0,0.0
Kenan Thompson,0.0,0.0,0.0,0.0
Chris Cooper,3.0,1.0,1.0,5.0
Shantel VanSanten,0.0,0.0,0.0,0.0
Dane DeHaan,0.0,0.0,0.0,0.0
Mandy Moore,0.0,0.0,0.0,0.0
Guy Pearce,0.0,0.0,0.0,0.0
Titus Welliver,0.0,0.0,0.0,0.0
Wendie Malick,0.0,0.0,0.0,0.0
Clint Howard,0.0,0.0,0.0,0.0
Dermot Mulroney,0.0,0.0,0.0,0.0
Michael Caine,10.0,16.0,0.0,26.0
S. J. Suryah,0.0,0.0,0.0,0.0
Rupert Grint,0.0,0.0,0.0,0.0
Jenna Fischer,0.0,0.0,0.0,0.0
Mena Suvari,0.0,0.0,0.0,0.0
Katie Aselton,0.0,0.0,0.0,0.0
Gillian Anderson,0.0,0.0,0.0,0.0
Sam Worthington,0.0,0.0,0.0,0.0
Patricia Arquette,3.0,1.0,1.0,5.0
Ikue Otani,0.0,0.0,0.0,0.0
Giancarlo Esposito,0.0,0.0,0.0,0.0
Brad Pitt,6.0,10.0,5.0,21.0
Mackenzie Foy,0.0,0.0,0.0,0.0
Henry Cavill,0.0,0.0,0.0,0.0
Akira Ishida,0.0,0.0,0.0,0.0
Alison Brie,0.0,0.0,0.0,0.0
Maggie Q,0.0,0.0,0.0,0.0
Sarah Hyland,0.0,0.0,0.0,0.0
Abraham Benrubi,0.0,0.0,0.0,0.0
Ben Kingsley,6.0,6.0,3.0,15.0
Ryan Phillippe,0.0,0.0,0.0,0.0
Kristanna Loken,0.0,0.0,0.0,0.0
Chevy Chase,0.0,2.0,0.0,2.0
Susan Sarandon,7.0,13.0,0.0,20.0
Amber Heard,0.0,0.0,0.0,0.0
Jason Sudeikis,0.0,0.0,0.0,0.0
Andrea Riseborough,1.0,0.0,0.0,1.0
Aidan Gillen,0.0,0.0,0.0,0.0
Naomi Watts,2.0,2.0,4.0,8.0
Jude Law,2.0,4.0,0.0,6.0
Jessica Lange,10.0,11.0,0.0,21.0
Jeff Bridges,9.0,8.0,5.0,22.0
Mark Ruffalo,3.0,4.0,4.0,11.0
Michael Ealy,0.0,0.0,0.0,0.0
Emma Roberts,0.0,0.0,0.0,0.0
Natalya Rudakova,0.0,0.0,0.0,0.0
Pauley Perrette,0.0,0.0,0.0,0.0
Alyson Hannigan,0.0,0.0,0.0,0.0
Alia Shawkat,0.0,0.0,0.0,0.0
Brian Stepanek,0.0,0.0,0.0,0.0
William Fichtner,0.0,0.0,0.0,0.0
Peter Ustinov,7.0,4.0,0.0,11.0
Justin Long,0.0,0.0,0.0,0.0
Nicole Sullivan,0.0,0.0,0.0,0.0
Allison Janney,3.0,1.0,1.0,5.0
Ashton Kutcher,0.0,0.0,0.0,0.0
Jean-Claude Van Damme,0.0,0.0,0.0,0.0
Jane Fonda,11.0,18.0,0.0,29.0
Rhona Mitra,0.0,0.0,0.0,0.0
Ornella Muti,0.0,0.0,0.0,0.0
Tom Berenger,1.0,1.0,0.0,2.0
Miranda Richardson,2.0,5.0,0.0,7.0
Jake Gyllenhaal,1.0,4.0,5.0,10.0
Thomas Brodie-Sangster,0.0,0.0,0.0,0.0
Cary Elwes,0.0,0.0,0.0,0.0
Danny McBride,0.0,0.0,0.0,0.0
Marisa Tomei,5.0,2.0,2.0,9.0
Alex Hassell,0.0,0.0,0.0,0.0
Amy Adams,6.0,12.0,7.0,25.0
Michelle Trachtenberg,0.0,0.0,0.0,0.0
Melanie Lynskey,0.0,0.0,0.0,0.0
Richard Harmon,0.0,0.0,0.0,0.0
Jamie Foxx,4.0,3.0,3.0,10.0
Steven Williams,0.0,0.0,0.0,0.0
Linda Cardellini,0.0,0.0,0.0,0.0
John Goodman,0.0,1.0,0.0,1.0
Sophie Marceau,0.0,0.0,0.0,0.0
Julianna Margulies,0.0,0.0,0.0,0.0
Martin Lawrence,0.0,0.0,0.0,0.0
Lauren Cohan,0.0,0.0,0.0,0.0
Stellan Skarsgård,0.0,0.0,0.0,0.0
Devon Bostick,0.0,0.0,0.0,0.0
Paul Dano,0.0,1.0,2.0,3.0
Bill Pullman,0.0,0.0,0.0,0.0
Halle Berry,3.0,4.0,0.0,7.0
Victor Webster,0.0,0.0,0.0,0.0
Melissa Sue Anderson,0.0,0.0,0.0,0.0
Grace Park,0.0,0.0,0.0,0.0
Angela Bassett,2.0,3.0,1.0,6.0
Chiwetel Ejiofor,1.0,4.0,2.0,7.0
Luke Wilson,0.0,0.0,0.0,0.0
Jeremy Sisto,0.0,0.0,0.0,0.0
Viggo Mortensen,3.0,7.0,6.0,16.0
David Thewlis,0.0,0.0,0.0,0.0
Isla Fisher,0.0,0.0,0.0,0.0
Golshifteh Farahani,0.0,0.0,0.0,0.0
Javier Bardem,6.0,9.0,4.0,19.0
Toby Jones,0.0,0.0,0.0,0.0
Emma Myers,0.0,0.0,0.0,0.0
Dulé Hill,0.0,0.0,0.0,0.0
Andrea Brooks,0.0,0.0,0.0,0.0
Devon Sawa,0.0,0.0,0.0,0.0
Billy Crudup,0.0,0.0,0.0,0.0
Evan Ellingson,0.0,0.0,0.0,0.0
Gil Bellows,0.0,0.0,0.0,0.0
Theo James,0.0,0.0,0.0,0.0
David Rasche,0.0,0.0,0.0,0.0
Cobie Smulders,0.0,0.0,0.0,0.0
Oliver Platt,0.0,0.0,0.0,0.0
Marlon Brando,12.0,11.0,0.0,23.0
Teyonah Parris,0.0,0.0,0.0,0.0
Shu Qi,0.0,0.0,0.0,0.0
Matthew McConaughey,3.0,2.0,3.0,8.0
Jeremy Allen White,0.0,0.0,0.0,0.0
Benicio del Toro,4.0,1.0,1.0,6.0
Sienna Miller,0.0,0.0,0.0,0.0
John Malkovich,2.0,1.0,0.0,3.0
Nina Dobrev,0.0,0.0,0.0,0.0
Sarah Michelle Gellar,0.0,0.0,0.0,0.0
Joel McHale,0.0,0.0,0.0,0.0
Hank Azaria,0.0,0.0,0.0,0.0
Maria Bello,0.0,3.0,1.0,4.0
Christina Hendricks,0.0,0.0,0.0,0.0
Steve Harvey,0.0,0.0,0.0,0.0
Jessica Alba,0.0,0.0,0.0,0.0
Brendan Penny,0.0,0.0,0.0,0.0
Juno Temple,0.0,0.0,0.0,0.0
Timothy Spall,0.0,0.0,0.0,0.0
Wes Anderson,0.0,0.0,0.0,0.0
Adrien Brody,3.0,2.0,0.0,5.0
Emilio Estevez,0.0,0.0,0.0,0.0
Jeremy Shada,0.0,0.0,0.0,0.0
Jesse Plemons,1.0,0.0,0.0,1.0
Tim Allen,0.0,0.0,0.0,0.0
Mary Steenburgen,3.0,2.0,0.0,5.0
Beau Bridges,0.0,1.0,0.0,1.0
Sam Neill,0.0,0.0,0.0,0.0
Skeet Ulrich,0.0,0.0,0.0,0.0
Kathryn Hahn,0.0,0.0,0.0,0.0
B.J. Novak,0.0,0.0,0.0,0.0
Zac Efron,0.0,0.0,0.0,0.0
Helen Hunt,4.0,3.0,1.0,8.0
Troy Baker,0.0,0.0,0.0,0.0
Tessa Thompson,0.0,0.0,0.0,0.0
Alain Delon,0.0,0.0,0.0,0.0
Holt McCallany,0.0,0.0,0.0,0.0
Stanley Tucci,1.0,1.0,1.0,3.0
Cam Gigandet,0.0,0.0,0.0,0.0
Eric Roberts,1.0,3.0,0.0,4.0
Drew Barrymore,0.0,1.0,0.0,1.0
Jensen Ackles,0.0,0.0,0.0,0.0
Angelina Jolie,4.0,7.0,5.0,16.0
Elizabeth Perkins,0.0,0.0,0.0,0.0
Paul Bettany,0.0,0.0,1.0,1.0
Roman Polanski,0.0,0.0,0.0,0.0
Burt Reynolds,1.0,5.0,0.0,6.0
Julie Andrews,5.0,18.0,0.0,23.0
Don Johnson,0.0,0.0,0.0,0.0
Jimmi Simpson,0.0,0.0,0.0,0.0
Inbar Lavi,0.0,0.0,0.0,0.0
Peter Coyote,0.0,0.0,0.0,0.0
Brett Cullen,0.0,0.0,0.0,0.0
Martin Freeman,0.0,0.0,0.0,0.0
Nick Jonas,0.0,0.0,0.0,0.0
Catherine Keener,2.0,1.0,2.0,5.0
Donnie Wahlberg,0.0,0.0,0.0,0.0
Christine Baranski,0.0,0.0,0.0,0.0
Deepika Padukone,0.0,0.0,0.0,0.0
Jack Quaid,0.0,0.0,0.0,0.0
Jason Isaacs,0.0,0.0,0.0,0.0
Gabrielle Union,0.0,0.0,0.0,0.0
Anthony Edwards,0.0,0.0,0.0,0.0
Jennifer Hale,0.0,0.0,0.0,0.0
Lyndsy Fonseca,0.0,0.0,0.0,0.0
Indira Varma,0.0,0.0,0.0,0.0
Morgan Fairchild,0.0,0.0,0.0,0.0
Troy Garity,0.0,0.0,0.0,0.0
Eva Longoria,0.0,0.0,0.0,0.0
